pitch_deg,altitude_ft
1.49593,40.52764
1.33864,40.59549
1.21016,40.63076
1.0908,40.65407
0.99866,40.66761
0.91885,40.67645
0.85195,40.68192
0.81336,40.68441
0.77836,40.6862
0.74927,40.68732
0.727,40.68794
0.70698,40.68827
0.69504,40.6883
0.68763,40.68818
0.68429,40.68801
0.68313,40.68778
0.68392,40.68753
0.6865,40.68724
0.6903,40.68695
0.69546,40.68663
0.70209,40.68627
0.70915,40.68592
0.71678,40.68557
0.7253,40.68521
0.73394,40.68487
0.74381,40.68449
0.75242,40.68416
0.76248,40.68378
0.77618,40.68327
0.78556,40.68291
0.79317,40.68264
0.80142,40.68234
0.80851,40.68209
0.81601,40.68182
0.82211,40.68161
0.82764,40.68141
0.83331,40.68122
0.83773,40.68106
0.84256,40.6809
0.84591,40.68079
0.84824,40.68071
0.84999,40.68065
0.8513,40.68061
0.85213,40.68058
0.85276,40.68058
0.85267,40.68059
0.85229,40.68061
0.85154,40.68065
0.85047,40.68069
0.84916,40.68074
0.84668,40.68083
0.84379,40.68094
0.84176,40.68102
0.8398,40.68109
0.83766,40.68118
0.83432,40.6813
0.8323,40.68138
0.83032,40.68146
0.82849,40.68153
0.82674,40.68159
0.82501,40.68166
0.82259,40.68176
0.82126,40.6818
0.8201,40.68184
0.81906,40.68188
0.81806,40.68192
0.81726,40.68195
0.81659,40.68197
0.81607,40.68198
0.81566,40.682
0.81536,40.682
0.81516,40.68201
0.81505,40.68201
0.81502,40.682
0.81506,40.682
0.81514,40.68199
0.81526,40.68198
0.8154,40.68198
0.81555,40.68197
0.81573,40.68196
0.81595,40.68195
0.81615,40.68195
0.8164,40.68194
0.81662,40.68193
0.81686,40.68192
0.81708,40.68191
0.81727,40.6819
0.81747,40.68189
0.81763,40.68188
0.81778,40.68187
0.81791,40.68187
0.81802,40.68186
0.81811,40.68186
0.81817,40.68185
0.8182,40.68185
0.81821,40.68185
0.81819,40.68185
0.81816,40.68185
0.81811,40.68186
0.81806,40.68186
0.818,40.68186
0.81791,40.68186
0.81782,40.68186
0.81771,40.68186
0.8176,40.68187
0.81749,40.68187
0.81737,40.68187
0.81715,40.68188
0.81688,40.68189
0.81676,40.6819
0.81662,40.6819
0.81647,40.68191
0.81632,40.68192
0.81617,40.68192
0.81602,40.68193
0.81586,40.68193
0.8157,40.68194
0.81555,40.68195
0.8154,40.68196
0.81523,40.68196
0.815,40.68197
0.81486,40.68198
0.81473,40.68198
0.81459,40.68199
0.81446,40.682
0.81433,40.682
0.81421,40.68201
0.8141,40.68201
0.814,40.68202
0.81389,40.68202
0.81377,40.68203
0.81365,40.68203
0.81353,40.68204
0.81335,40.68205
0.81323,40.68205
0.81311,40.68206
